trial,value,local_dem_cfg,regional_dem_cfg,arch_idx,dropout,lr,wd,bs
0,12.067583084106445,1,6,13,0.35,2.0513382630874486e-05,2.9375384576328313e-06,256
1,12.709623336791992,0,6,14,0.15000000000000002,2.3102018878452926e-05,3.549878832196506e-06,256
2,11.698670387268066,3,0,5,0.25,8.168455894760161e-05,0.0002267398652378039,512
3,12.219170570373535,3,1,1,0.5,0.0008536189862866829,0.0002661901888489054,512
4,12.907365798950195,0,3,0,0.5,3.292759134423613e-05,9.717775305059631e-05,512
5,12.44300365447998,4,5,16,0.5,0.0001569639638866114,0.0005829384542994739,1024
6,12.245320320129395,1,1,14,0.25,3.646439558980719e-05,4.247058562261871e-05,1024
7,12.230439186096191,3,1,0,0.45000000000000007,0.0002592475660475158,0.00015382308040278996,128
8,12.25815200805664,4,4,5,0.1,4.187594718900626e-05,9.4525713910723e-06,512
9,12.473018646240234,0,4,13,0.35,0.0003482846706526881,3.0296104428212496e-05,128
10,12.257131576538086,2,0,8,0.25,8.510951692788826e-05,0.0005284384205738847,512
11,12.008914947509766,2,6,9,0.35,1.0406478814115062e-05,1.1860797007882171e-06,256
12,12.071642875671387,2,2,8,0.25,1.0700938086776557e-05,1.0463953307679654e-06,256
13,12.022723197937012,3,3,4,0.35,8.883116653692035e-05,2.7544883859755245e-05,256
14,11.817580223083496,2,0,10,0.2,1.1248613366724763e-05,0.0009709479489006036,256
15,12.478287696838379,3,0,5,0.15000000000000002,0.0009818247569037453,0.0009963809838335737,512
16,12.880772590637207,1,0,10,0.2,0.00015107653087335611,0.00024206728116622854,128
17,11.649924278259277,4,2,11,0.2,6.347428717144878e-05,9.9323382596616e-05,1024
18,12.728487968444824,4,2,3,0.30000000000000004,5.866881366232285e-05,7.07031721423227e-05,1024
19,12.217117309570312,4,2,7,0.15000000000000002,0.0001456687947315177,1.4209682305549448e-05,1024
20,12.270663261413574,3,1,11,0.1,6.493209149810783e-05,0.00013124705694018043,1024
21,12.211932182312012,3,0,11,0.2,1.6617737388026843e-05,0.0003282007799434472,512
22,12.378582954406738,2,1,6,0.2,0.0003782724071436903,0.0008940546371131036,1024
23,11.797286033630371,4,2,11,0.30000000000000004,4.879058326109056e-05,0.00039649861772244385,256
24,11.92570972442627,4,3,17,0.30000000000000004,5.59845482982191e-05,0.00019999972374298437,512
25,12.407485008239746,4,2,12,0.4,0.00011897772891840573,6.657459806731455e-05,256
26,15.852218627929688,4,4,2,0.25,2.8268924309126472e-05,0.000464097828024724,1024
27,12.315956115722656,3,2,7,0.30000000000000004,4.7202898454584805e-05,0.0001141995100238005,128
28,11.862824440002441,4,3,9,0.4,0.00022694440690815707,5.675325566786427e-05,512
29,11.977961540222168,3,1,14,0.25,8.104379560516683e-05,2.0205972427165555e-05,256
